timestamp,currency,importance,event,country,source,hard_event,event_tier
2022-03-15 03:45:00-04:00,EUR,1,French Final CPI m/m,,csv,True,hard
2022-03-15 16:30:00-04:00,USD,3,Core Retail Sales m/m,,csv,True,hard
2022-03-15 16:30:00-04:00,USD,3,FOMC Economic Projections,,csv,True,hard
2022-03-15 16:30:00-04:00,USD,3,Retail Sales m/m,,csv,True,hard
2022-03-15 16:30:00-04:00,USD,3,FOMC Statement,,csv,True,hard
2022-03-16 14:00:00-04:00,USD,3,Federal Funds Rate,,csv,True,hard
2022-03-16 14:30:00-04:00,USD,3,FOMC Press Conference,,csv,True,hard
2022-03-16 16:30:00-04:00,EUR,1,Final CPI y/y,,csv,True,hard
2022-03-17 06:00:00-04:00,EUR,1,Final Core CPI y/y,,csv,True,hard
2022-03-18 14:00:00-04:00,USD,1,FOMC Member Bowman Speaks,,csv,True,hard
2022-03-21 12:30:00-04:00,USD,3,Fed Chair Powell Speaks,,csv,True,hard
2022-03-22 10:35:00-04:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2022-03-22 15:30:00-04:00,USD,3,Fed Chair Powell Speaks,,csv,True,hard
2022-03-22 17:00:00-04:00,USD,2,FOMC Member Mester Speaks,,csv,True,hard
2022-03-23 15:00:00-04:00,USD,2,FOMC Member Bullard Speaks,,csv,True,hard
2022-03-23 15:30:00-04:00,EUR,1,Flash Services PMI,,csv,True,hard
2022-03-23 15:30:00-04:00,EUR,3,German Flash Manufacturing PMI,,csv,True,hard
2022-03-23 15:30:00-04:00,EUR,1,Flash Manufacturing PMI,,csv,True,hard
2022-03-23 15:30:00-04:00,EUR,1,French Flash Manufacturing PMI,,csv,True,hard
2022-03-23 15:30:00-04:00,USD,2,Flash Services PMI,,csv,True,hard
2022-03-23 15:30:00-04:00,EUR,3,German Flash Services PMI,,csv,True,hard
2022-03-23 21:05:00-04:00,USD,2,FOMC Member Bullard Speaks,,csv,True,hard
2022-03-24 04:15:00-04:00,EUR,2,French Flash Services PMI,,csv,True,hard
2022-03-24 09:10:00-04:00,USD,2,FOMC Member Waller Speaks,,csv,True,hard
2022-03-24 09:45:00-04:00,USD,2,Flash Manufacturing PMI,,csv,True,hard
2022-03-24 15:30:00-04:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2022-03-25 12:00:00-04:00,USD,1,FOMC Member Waller Speaks,,csv,True,hard
2022-03-29 09:00:00-04:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2022-03-29 10:00:00-04:00,USD,3,JOLTS Job Openings,,csv,False,standard
2022-03-29 15:30:00-04:00,USD,1,Final GDP Price Index q/q,,csv,True,hard
2022-03-29 15:30:00-04:00,EUR,1,Spanish Flash CPI y/y,,csv,True,hard
2022-03-30 08:15:00-04:00,USD,3,ADP Non-Farm Employment Change,,csv,True,hard
2022-03-30 08:30:00-04:00,USD,2,Final GDP q/q,,csv,True,hard
2022-03-30 13:00:00-04:00,USD,2,FOMC Member George Speaks,,csv,True,hard
2022-03-30 15:29:59-04:00,EUR,1,German Prelim CPI m/m,,csv,True,hard
2022-03-30 15:30:00-04:00,EUR,1,Unemployment Rate,,csv,True,hard
2022-03-30 15:30:00-04:00,USD,3,Core PCE Price Index m/m,,csv,False,standard
2022-03-30 15:30:00-04:00,EUR,1,French Prelim CPI m/m,,csv,True,hard
2022-03-31 02:00:00-04:00,EUR,1,German Retail Sales m/m,,csv,True,hard
2022-03-31 03:55:00-04:00,EUR,1,German Unemployment Change,,csv,True,hard
2022-03-31 04:00:00-04:00,EUR,1,Italian Monthly Unemployment Rate,,csv,True,hard
2022-03-31 05:00:00-04:00,EUR,1,Italian Prelim CPI m/m,,csv,True,hard
2022-03-31 09:00:00-04:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2022-03-31 09:45:00-04:00,USD,2,Chicago PMI,,csv,True,hard
2022-03-31 15:30:00-04:00,USD,3,Unemployment Rate,,csv,True,hard
2022-03-31 15:30:00-04:00,USD,3,Non-Farm Employment Change,,csv,True,hard
2022-03-31 15:30:00-04:00,EUR,1,Core CPI Flash Estimate y/y,,csv,True,hard
