outcome,R,entry_p,exit_p,entry_ts,exit_ts,be_activated,sl_price,tp_price,be_trigger_price,log_events,trade_id,month
TP,1.2,1.09165,1.090418,2024-07-15 15:21:06.721000+00:00,2024-07-15 16:12:03.429000+00:00,True,1.09253,1.090418,1.091298,"[{'ts': Timestamp('2024-07-15 15:26:28.805000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09129}]",2198,2024_07
BE,-0.2,1.08784,1.08784,2024-07-16 13:39:07.499000+00:00,2024-07-16 14:13:45.989000+00:00,True,1.08681,1.089282,1.088252,"[{'ts': Timestamp('2024-07-16 13:49:06.548000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08826}]",2199,2024_07
TP,1.2,1.09286,1.09363,2024-07-18 12:15:08.182000+00:00,2024-07-18 12:30:54.407000+00:00,True,1.09231,1.09363,1.09308,"[{'ts': Timestamp('2024-07-18 12:15:42.022000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.09308}]",2200,2024_07
TIME_EXIT,0.10136986301354378,1.08868,1.0889,2024-07-19 11:12:19.471000+00:00,2024-07-19 12:12:08.179000+00:00,True,1.08795,1.089702,1.088972,"[{'ts': Timestamp('2024-07-19 11:15:53.812000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08898}]",2201,2024_07
TIME_EXIT,-0.0571428571428729,1.08847,1.08837,2024-07-22 12:33:08.776000+00:00,2024-07-22 13:33:02.534000+00:00,True,1.08917,1.08749,1.08819,"[{'ts': Timestamp('2024-07-22 12:44:00.337000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08819}]",2202,2024_07
TP,1.2,1.08556,1.085056,2024-07-23 13:03:17.754000+00:00,2024-07-23 13:29:32.924000+00:00,True,1.08592,1.085056,1.085416,"[{'ts': Timestamp('2024-07-23 13:04:23.618000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0854}]",2203,2024_07
TIME_EXIT,0.49607843137253765,1.08459,1.0853,2024-07-24 11:48:07.519000+00:00,2024-07-24 12:47:57.823000+00:00,True,1.08357,1.086018,1.084998,"[{'ts': Timestamp('2024-07-24 12:19:05.182000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08501}]",2204,2024_07
TIME_EXIT,0.6455284552844958,1.08606,1.08502,2024-07-25 17:27:10.244000+00:00,2024-07-25 18:27:04.547000+00:00,True,1.08729,1.084338,1.085568,"[{'ts': Timestamp('2024-07-25 17:50:15.879000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08556}]",2205,2024_07
TIME_EXIT,0.19200000000008116,1.08617,1.08568,2024-07-26 14:24:06.194000+00:00,2024-07-26 15:24:01.018000+00:00,True,1.08742,1.08442,1.08567,"[{'ts': Timestamp('2024-07-26 14:25:42.522000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08567}]",2206,2024_07
TP,1.2,1.08356,1.083182,2024-07-29 11:00:07.693000+00:00,2024-07-29 11:21:10.771000+00:00,True,1.08383,1.083182,1.083452,"[{'ts': Timestamp('2024-07-29 11:02:34.781000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08344}]",2207,2024_07
