trade_id,P_outcome,P_R,P_entry_ts,Q_outcome,Q_R,Q_entry_ts,match,delta_R
2328,TIME_EXIT,1.3414634146340514,2025-01-30 12:27:02.249000+00:00,TIME_EXIT,1.390243902439106,2025-01-30 12:27:02.249000+00:00,True,-0.04878048780505462
2329,TIME_EXIT,0.712499999999682,2025-01-31 12:18:01.089000+00:00,BE,0.0,2025-01-31 12:18:01.089000+00:00,False,0.712499999999682
2349,TP,1.4,2025-03-03 12:00:01.093000+00:00,TP,1.4,2025-03-03 12:00:01.093000+00:00,True,0.0
2350,BE,0.0,2025-03-04 15:42:02.135000+00:00,BE,0.0,2025-03-04 15:42:02.135000+00:00,True,0.0
2351,TP,1.4,2025-03-05 14:03:02.804000+00:00,TP,1.4,2025-03-05 14:03:02.804000+00:00,True,0.0
2352,BE,0.0,2025-03-06 15:33:01.195000+00:00,BE,0.0,2025-03-06 15:33:01.195000+00:00,True,0.0
2353,SL,-1.0,2025-03-07 14:00:01.062000+00:00,SL,-1.0,2025-03-07 14:00:01.062000+00:00,True,0.0
2354,TIME_EXIT,0.972222222222128,2025-03-10 17:09:01.659000+00:00,BE,0.0,2025-03-10 17:09:01.659000+00:00,False,0.972222222222128
2355,TIME_EXIT,0.7543859649120263,2025-03-11 17:06:01.561000+00:00,TP,1.4,2025-03-11 17:06:01.561000+00:00,False,-0.6456140350879737
2356,BE,0.0,2025-03-12 13:39:01.054000+00:00,BE,0.0,2025-03-12 13:39:01.054000+00:00,True,0.0
2357,TP,1.4,2025-03-13 14:00:01.069000+00:00,TP,1.4,2025-03-13 14:00:01.069000+00:00,True,0.0
2358,BE,0.0,2025-03-17 12:09:01.672000+00:00,TIME_EXIT,-0.0100502512563472,2025-03-17 12:09:01.672000+00:00,False,0.0100502512563472
2359,BE,0.0,2025-03-18 13:00:01.266000+00:00,BE,0.0,2025-03-18 13:00:01.266000+00:00,True,0.0
2360,TP,1.4,2025-03-19 14:45:03.401000+00:00,TP,1.4,2025-03-19 14:45:03.401000+00:00,True,0.0
2361,TIME_EXIT,0.5333333333331363,2025-03-21 15:45:01.295000+00:00,TP,1.4,2025-03-21 15:45:01.295000+00:00,False,-0.8666666666668636
2362,BE,0.0,2025-03-24 12:57:01.529000+00:00,BE,0.0,2025-03-24 12:57:01.529000+00:00,True,0.0
2363,TP,1.4,2025-03-26 13:15:01.114000+00:00,TP,1.4,2025-03-26 13:15:01.114000+00:00,True,0.0
2364,TIME_EXIT,-0.8644067796609369,2025-03-27 11:42:01.189000+00:00,TIME_EXIT,-0.7740112994349555,2025-03-27 11:42:01.189000+00:00,True,-0.09039548022598143
2365,SL,-1.0,2025-03-28 13:00:02.107000+00:00,SL,-1.0,2025-03-28 13:00:02.107000+00:00,True,0.0
2366,TP,1.4,2025-03-31 14:00:01.275000+00:00,TP,1.4,2025-03-31 14:00:01.275000+00:00,True,0.0
2426,TIME_EXIT,0.7395833333331673,2025-07-01 11:39:15.125000+00:00,BE,0.0,2025-07-01 11:39:15.125000+00:00,False,0.7395833333331673
2427,TP,1.4,2025-07-02 11:27:01.175000+00:00,TP,1.4,2025-07-02 11:27:01.175000+00:00,True,0.0
2428,BE,0.0,2025-07-03 11:12:02.254000+00:00,BE,0.0,2025-07-03 11:12:02.254000+00:00,True,0.0
2429,TP,1.4,2025-07-04 13:00:03.001000+00:00,TP,1.4,2025-07-04 13:00:03.001000+00:00,True,0.0
2439,TIME_EXIT,0.5054945054943455,2025-07-21 12:42:01.766000+00:00,TIME_EXIT,0.6813186813187527,2025-07-21 12:42:01.766000+00:00,True,-0.17582417582440724
2440,TIME_EXIT,0.4821428571428149,2025-07-22 13:39:02.496000+00:00,TIME_EXIT,0.934523809523852,2025-07-22 13:39:02.496000+00:00,True,-0.45238095238103704
2442,TP,1.4,2025-07-24 12:27:01.163000+00:00,TP,1.4,2025-07-24 12:27:01.163000+00:00,True,0.0
2443,TIME_EXIT,1.2124999999994397,2025-07-25 11:09:16.684000+00:00,TP,1.4,2025-07-25 11:09:16.684000+00:00,False,-0.18750000000056022
2444,BE,0.0,2025-07-28 11:00:01.082000+00:00,BE,0.0,2025-07-28 11:00:01.082000+00:00,True,0.0
2445,TIME_EXIT,0.8139534883720034,2025-07-29 12:06:02.176000+00:00,TP,1.4,2025-07-29 12:06:02.176000+00:00,False,-0.5860465116279965
2446,TIME_EXIT,1.343137254901789,2025-07-30 20:09:07.523000+00:00,TP,1.4,2025-07-30 20:09:07.523000+00:00,False,-0.056862745098210876
2447,BE,0.0,2025-07-31 13:00:03.076000+00:00,BE,0.0,2025-07-31 13:00:03.076000+00:00,True,0.0
