month,trade_id,direction,entry_time_utc,original_exit_time_utc,close_model,close_time_ny,close_time_utc,executable_exit_price,tick_R,auditable_yes_no,non_auditable_reason,delta_vs_original_R
2017-05,551,LONG,2017-05-19 11:09:00+00:00,2017-05-19 13:09:00+00:00,19:45,2017-05-19 19:45:00-04:00,2017-05-19 23:45:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-05,551,LONG,2017-05-19 11:09:00+00:00,2017-05-19 13:09:00+00:00,20:00,2017-05-19 20:00:00-04:00,2017-05-20 00:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-05,552,LONG,2017-05-22 13:51:00+00:00,2017-05-22 15:12:00+00:00,19:00,2017-05-22 19:00:00-04:00,2017-05-22 23:00:00+00:00,1.12387,-0.5906432748538705,YES,,-0.1988304093567177
2017-05,552,LONG,2017-05-22 13:51:00+00:00,2017-05-22 15:12:00+00:00,19:45,2017-05-22 19:45:00-04:00,2017-05-22 23:45:00+00:00,1.12387,-0.5906432748538705,YES,,-0.1988304093567177
2017-05,552,LONG,2017-05-22 13:51:00+00:00,2017-05-22 15:12:00+00:00,20:00,2017-05-22 20:00:00-04:00,2017-05-23 00:00:00+00:00,1.12371,-0.684210526315817,YES,,-0.29239766081866425
2017-05,553,LONG,2017-05-23 19:42:00+00:00,2017-05-23 23:27:00+00:00,19:00,2017-05-23 19:00:00-04:00,2017-05-23 23:00:00+00:00,1.11873,0.7999999999996674,YES,,0.5374999999997115
2017-05,553,LONG,2017-05-23 19:42:00+00:00,2017-05-23 23:27:00+00:00,19:45,2017-05-23 19:45:00-04:00,2017-05-23 23:45:00+00:00,1.11812,0.03749999999995405,YES,,-0.22500000000000184
2017-05,553,LONG,2017-05-23 19:42:00+00:00,2017-05-23 23:27:00+00:00,20:00,2017-05-23 20:00:00-04:00,2017-05-24 00:00:00+00:00,1.11791,-0.22500000000000187,YES,,-0.48749999999995774
2017-05,554,SHORT,2017-05-24 13:27:00+00:00,2017-05-24 17:06:00+00:00,19:00,2017-05-24 19:00:00-04:00,2017-05-24 23:00:00+00:00,1.12176,-1.142201834862328,YES,,-1.6422018348622982
2017-05,554,SHORT,2017-05-24 13:27:00+00:00,2017-05-24 17:06:00+00:00,19:45,2017-05-24 19:45:00-04:00,2017-05-24 23:45:00+00:00,1.12308,-1.7477064220182301,YES,,-2.2477064220182004
2017-05,554,SHORT,2017-05-24 13:27:00+00:00,2017-05-24 17:06:00+00:00,20:00,2017-05-24 20:00:00-04:00,2017-05-25 00:00:00+00:00,1.1231,-1.756880733944793,YES,,-2.2568807339447634
2017-05,555,SHORT,2017-05-26 15:42:00+00:00,2017-05-26 16:45:00+00:00,19:00,2017-05-26 19:00:00-04:00,2017-05-26 23:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-05,555,SHORT,2017-05-26 15:42:00+00:00,2017-05-26 16:45:00+00:00,19:45,2017-05-26 19:45:00-04:00,2017-05-26 23:45:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-05,555,SHORT,2017-05-26 15:42:00+00:00,2017-05-26 16:45:00+00:00,20:00,2017-05-26 20:00:00-04:00,2017-05-27 00:00:00+00:00,,0.0,NO,NO_TICKS_AT_CLOSE_TIME,0.0
2017-05,556,SHORT,2017-05-29 12:00:00+00:00,2017-05-29 13:42:00+00:00,19:00,2017-05-29 19:00:00-04:00,2017-05-29 23:00:00+00:00,1.11388,6.885714285711401,YES,,5.714285714283271
2017-05,556,SHORT,2017-05-29 12:00:00+00:00,2017-05-29 13:42:00+00:00,19:45,2017-05-29 19:45:00-04:00,2017-05-29 23:45:00+00:00,1.11284,8.37142857142495,YES,,7.19999999999682
2017-05,556,SHORT,2017-05-29 12:00:00+00:00,2017-05-29 13:42:00+00:00,20:00,2017-05-29 20:00:00-04:00,2017-05-30 00:00:00+00:00,1.11293,8.242857142853685,YES,,7.071428571425555
2017-05,557,SHORT,2017-05-30 11:00:00+00:00,2017-05-30 14:00:00+00:00,19:00,2017-05-30 19:00:00-04:00,2017-05-30 23:00:00+00:00,1.1174,-0.45701357466061326,YES,,0.3868778280543213
2017-05,557,SHORT,2017-05-30 11:00:00+00:00,2017-05-30 14:00:00+00:00,19:45,2017-05-30 19:45:00-04:00,2017-05-30 23:45:00+00:00,1.11718,-0.40723981900453027,YES,,0.4366515837104043
2017-05,557,SHORT,2017-05-30 11:00:00+00:00,2017-05-30 14:00:00+00:00,20:00,2017-05-30 20:00:00-04:00,2017-05-31 00:00:00+00:00,1.11731,-0.43665158371040436,YES,,0.4072398190045302
