trade_id,month,date,direction,entry_time_ny,exit_time_ny,entry_price_bar,nearest_bid,nearest_ask,spread_entry,sl,tp,risk,be_trigger_price,be_trigger_touched,be_trigger_time,be_stop_price,bar_outcome,tick_outcome,bar_R,tick_R,first_touch,first_touch_time,auditable_yes_no,match_status,notes,non_auditable_reason
2181,2024-06,2024-06-14,SHORT,2024-06-14T13:09:00+00:00,2024-06-14T13:27:00+00:00,1.06857,1.06898,1.06899,0.10000000000065512,1.0697400000000001,1.067916,0.00076,1.068676,True,2024-06-14T13:10:02.912000+00:00,1.06898,TP,TP,1.4,1.4,TP,2024-06-14T13:20:48.822000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000760,
2182,2024-06,2024-06-17,LONG,2024-06-17T15:06:00+00:00,2024-06-17T15:39:00+00:00,1.07192,1.07165,1.07167,0.1999999999990898,1.0711699999999997,1.07237,0.0005000000000001,1.0718699999999999,True,2024-06-17T15:07:46.905000+00:00,1.07167,SL,TP,0.0,1.4,TP,2024-06-17T15:17:05.619000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000500,
2183,2024-06,2024-06-18,LONG,2024-06-18T12:30:00+00:00,2024-06-18T14:27:00+00:00,1.07308,1.07139,1.07147,0.7999999999985796,1.0693499999999996,1.0744380000000004,0.0021200000000003,1.072318,True,2024-06-18T12:30:04.642000+00:00,1.07147,TP,TP,1.4,1.4,TP,2024-06-18T13:47:23.791000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.002120,
2184,2024-06,2024-06-20,SHORT,2024-06-20T11:24:00+00:00,2024-06-20T11:42:00+00:00,1.0727,1.07287,1.07289,0.1999999999990898,1.0734800000000002,1.0720159999999996,0.0006100000000002,1.0726259999999999,True,2024-06-20T11:36:07.503000+00:00,1.07287,SL,FORCED_CLOSE,0.0,0.5245901639344148,TIME,2024-06-20T11:42:00.792000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000610,
2185,2024-06,2024-06-25,SHORT,2024-06-25T11:03:00+00:00,2024-06-25T11:33:00+00:00,1.07203,1.0722,1.07223,0.2999999999997449,1.0726900000000001,1.0715139999999999,0.0004900000000001,1.072004,True,2024-06-25T11:17:40.109000+00:00,1.0722,TP,TP,1.4,1.4,TP,2024-06-25T11:26:51.615000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000490,
2186,2024-06,2024-06-26,LONG,2024-06-26T11:42:00+00:00,2024-06-26T11:57:00+00:00,1.06851,1.06827,1.0683,0.2999999999997449,1.0676399999999997,1.0692240000000004,0.0006600000000003,1.068564,True,2024-06-26T11:52:40.833000+00:00,1.0683,TP,FORCED_CLOSE,1.4,0.9696969696964894,TIME,2024-06-26T11:57:09.800000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000660,
2187,2024-06,2024-06-27,LONG,2024-06-27T12:18:00+00:00,2024-06-27T12:36:00+00:00,1.07014,1.06969,1.06971,0.1999999999990898,1.0687399999999996,1.0710680000000004,0.0009700000000003,1.070098,True,2024-06-27T12:20:37.304000+00:00,1.06971,TP,BE,1.4,0.0,STOP,2024-06-27T12:30:28.327000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000970,
2188,2024-06,2024-06-28,SHORT,2024-06-28T11:24:00+00:00,2024-06-28T11:54:00+00:00,1.07042,1.07065,1.07067,0.1999999999990898,1.0714900000000003,1.069474,0.0008400000000001,1.070314,True,2024-06-28T11:29:16.608000+00:00,1.07065,TP,FORCED_CLOSE,1.4,1.1190476190476797,TIME,2024-06-28T11:54:05.620000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000840,
2189,2024-07,2024-07-01,SHORT,2024-07-01T14:09:00+00:00,2024-07-01T15:09:00+00:00,1.07497,1.07565,1.07566,0.10000000000065512,1.0777500000000002,1.0727099999999996,0.0021000000000002,1.0748099999999998,True,2024-07-01T14:13:51.421000+00:00,1.07565,TP,TP,1.4,1.4,TP,2024-07-01T15:01:32.887000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.002100,
2190,2024-07,2024-07-02,LONG,2024-07-02T13:00:00+00:00,2024-07-02T13:39:00+00:00,1.07347,1.07317,1.07318,0.10000000000065512,1.0726099999999998,1.073978,0.0005700000000001,1.0734080000000001,True,2024-07-02T13:01:18.613000+00:00,1.07318,TP,BE,1.4,0.0,STOP,2024-07-02T13:15:37.438000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000570,
