year_month,trades_count,total_R,PF,Winrate,Expectancy,TP,BE,SL,forced_close,classification
2019-07,19.0,1.5999999999999996,1.4,21.052631578947366,0.08421052631578946,4.0,11.0,4.0,0.0,NORMAL
2019-08,20.0,5.799999999999999,2.45,35.0,0.2899999999999999,7.0,9.0,4.0,0.0,GOOD
2019-09,16.0,3.0161289999999994,1.5602156886745615,37.5,0.18850806249999996,6.0,3.0,5.0,2.0,NORMAL
2019-10,18.0,4.900912999999999,3.4504565000000005,33.33333333333333,0.2722729444444444,4.0,10.0,2.0,2.0,NORMAL
2019-11,20.0,6.799999999999999,3.266666666666667,35.0,0.33999999999999997,7.0,10.0,3.0,0.0,GOOD
2019-12,19.0,1.5999999999999996,1.4,21.052631578947366,0.08421052631578946,4.0,11.0,4.0,0.0,NORMAL
2020-01,20.0,-0.46145800000000037,0.9010056510216331,15.0,-0.023072900000000018,3.0,11.0,4.0,2.0,NORMAL
2020-02,17.0,11.599999999999998,12.6,52.94117647058824,0.6823529411764705,9.0,7.0,1.0,0.0,GOOD
2020-03,19.0,7.9869,7.9869,31.57894736842105,0.4203631578947369,5.0,13.0,0.0,1.0,GOOD
2020-04,19.0,2.3999999999999995,1.4000000000000001,31.57894736842105,0.1263157894736842,6.0,7.0,6.0,0.0,NORMAL
2020-05,16.0,7.799999999999999,4.9,43.75,0.48749999999999993,7.0,7.0,2.0,0.0,GOOD
2020-06,21.0,2.5999999999999996,1.8666666666666665,19.047619047619047,0.12380952380952379,4.0,14.0,3.0,0.0,NORMAL
2020-07,23.0,8.6,3.15,39.130434782608695,0.3739130434782609,9.0,10.0,4.0,0.0,GOOD
2020-08,18.0,0.7273969999999998,1.2094673649708876,16.666666666666664,0.04041094444444444,3.0,11.0,3.0,1.0,NORMAL
2020-09,21.0,2.9420169999999994,1.5390300775945989,28.57142857142857,0.1400960476190476,6.0,9.0,5.0,1.0,NORMAL
2020-10,18.0,4.9326419999999995,3.3859641145848953,27.77777777777778,0.2740356666666666,5.0,10.0,2.0,1.0,NORMAL
2020-11,17.0,9.948,8.945686900958465,47.05882352941176,0.5851764705882353,8.0,7.0,1.0,1.0,GOOD
2020-12,20.0,6.799999999999999,3.266666666666667,35.0,0.33999999999999997,7.0,10.0,3.0,0.0,GOOD
2021-01,20.0,4.799999999999999,1.9600000000000002,35.0,0.23999999999999994,7.0,8.0,5.0,0.0,NORMAL
2021-02,19.0,8.765217,3.921739,47.368421052631575,0.46132721052631576,8.0,7.0,3.0,1.0,GOOD
2021-03,21.0,4.7003889999999995,2.566796333333333,28.57142857142857,0.2238280476190476,5.0,12.0,3.0,1.0,NORMAL
2021-04,18.0,3.234005999999999,2.078002,27.77777777777778,0.17966699999999994,4.0,10.0,3.0,1.0,NORMAL
2021-05,15.0,2.9820709999999995,2.4910354999999997,33.33333333333333,0.1988047333333333,3.0,8.0,2.0,2.0,NORMAL
2021-06,19.0,7.581424999999999,8.581425000000001,36.84210526315789,0.3990223684210526,6.0,11.0,1.0,1.0,GOOD
2021-07,21.0,3.0453609999999998,2.5226805,19.047619047619047,0.14501719047619047,3.0,15.0,2.0,1.0,NORMAL
2021-08,20.0,-0.12053900000000034,0.9789287338133695,20.0,-0.006026950000000017,4.0,9.0,5.0,2.0,NORMAL
2021-09,21.0,9.151812999999999,5.468250701718153,38.095238095238095,0.435800619047619,8.0,10.0,1.0,2.0,GOOD
2021-10,18.0,6.3999999999999995,4.2,33.33333333333333,0.3555555555555555,6.0,10.0,2.0,0.0,GOOD
2021-11,18.0,5.799999999999999,2.45,38.88888888888889,0.3222222222222222,7.0,7.0,4.0,0.0,GOOD
2021-12,22.0,14.901076000000002,7.581023553504937,59.09090909090909,0.6773216363636364,12.0,6.0,2.0,2.0,GOOD
2022-01,20.0,4.3999999999999995,2.1,30.0,0.21999999999999997,6.0,10.0,4.0,0.0,NORMAL
2022-02,18.0,5.399999999999999,2.8000000000000003,33.33333333333333,0.29999999999999993,6.0,9.0,3.0,0.0,GOOD
2022-03,21.0,7.199999999999999,2.8,38.095238095238095,0.3428571428571428,8.0,9.0,4.0,0.0,GOOD
2022-04,19.0,7.213043000000001,3.7882345937717563,36.84210526315789,0.3796338421052632,7.0,9.0,2.0,1.0,GOOD
2022-05,19.0,6.199999999999999,2.2399999999999998,42.10526315789473,0.32631578947368417,8.0,6.0,5.0,0.0,GOOD
2022-06,22.0,7.4,8.4,27.27272727272727,0.33636363636363636,6.0,15.0,1.0,0.0,GOOD
2022-07,18.0,6.125005,6.125004999999998,33.33333333333333,0.34027805555555557,4.0,12.0,0.0,2.0,GOOD
2022-08,22.0,10.6,6.3,40.909090909090914,0.4818181818181818,9.0,11.0,2.0,0.0,GOOD
2022-09,22.0,6.919008,2.6162160545966917,36.36363636363637,0.31450036363636363,8.0,9.0,4.0,1.0,GOOD
2022-10,20.0,8.8,9.8,35.0,0.44000000000000006,7.0,12.0,1.0,0.0,GOOD
2022-11,19.0,5.0,3.5,26.31578947368421,0.2631578947368421,5.0,12.0,2.0,0.0,NORMAL
2022-12,18.0,3.6732759999999995,2.8366379999999998,27.77777777777778,0.20407088888888886,4.0,11.0,2.0,1.0,NORMAL
2023-01,18.0,1.6479259999999998,1.8239629999999998,16.666666666666664,0.09155144444444444,2.0,13.0,2.0,1.0,NORMAL
2023-02,18.0,1.1999999999999997,1.3999999999999997,16.666666666666664,0.06666666666666665,3.0,12.0,3.0,0.0,NORMAL
2023-03,20.0,6.731525999999999,3.1937699325462754,35.0,0.33657629999999994,7.0,9.0,3.0,1.0,GOOD
2023-04,16.0,3.996879,1.8746793985209877,43.75,0.2498049375,6.0,4.0,4.0,2.0,NORMAL
2023-05,22.0,6.799999999999999,3.266666666666667,31.818181818181817,0.309090909090909,7.0,12.0,3.0,0.0,GOOD
