direction,entry_time,exit_time,entry_price,exit_price,sl,tp,risk,status,be_triggered,outcome,r_result,entry_date,year,month,month_name,hour_ny,weekday
LONG,2025-01-09 16:42:00+00:00,2025-01-10 01:00:00+00:00,1.03008,1.02958,1.0289999999999997,1.0315920000000007,0.0010800000000004,FORCED_CLOSE,False,FORCED_CLOSE,-0.462963,2025-01-09,2025,2025-01,Enero,11,Jueves
SHORT,2025-01-10 13:30:00+00:00,2025-01-10 13:42:00+00:00,1.02463,1.02463,1.02463,1.0153199999999996,0.0066500000000002,SL,True,BE,0.0,2025-01-10,2025,2025-01,Enero,8,Viernes
LONG,2025-01-13 16:24:00+00:00,2025-01-13 18:45:00+00:00,1.02027,1.0219640000000003,1.02027,1.0219640000000003,0.0012100000000001,TP,True,TP,1.4,2025-01-13,2025,2025-01,Enero,11,Lunes
LONG,2025-01-14 12:45:00+00:00,2025-01-14 13:33:00+00:00,1.0255,1.0255,1.0255,1.0278240000000003,0.0016600000000002,SL,True,BE,0.0,2025-01-14,2025,2025-01,Enero,7,Martes
SHORT,2025-01-15 15:00:00+00:00,2025-01-15 15:09:00+00:00,1.03187,1.03187,1.03187,1.0300219999999998,0.0013200000000002,SL,True,BE,0.0,2025-01-15,2025,2025-01,Enero,10,Miercoles
SHORT,2025-01-16 13:06:00+00:00,2025-01-16 13:33:00+00:00,1.02689,1.02689,1.02689,1.024482,0.0017200000000001,SL,True,BE,0.0,2025-01-16,2025,2025-01,Enero,8,Jueves
LONG,2025-01-17 14:48:00+00:00,2025-01-17 15:51:00+00:00,1.02988,1.02988,1.02988,1.034724,0.00346,SL,True,BE,0.0,2025-01-17,2025,2025-01,Enero,9,Viernes
SHORT,2025-01-20 12:27:00+00:00,2025-01-20 13:30:00+00:00,1.03149,1.0327400000000002,1.0327400000000002,1.0297399999999997,0.0012500000000001,SL,False,SL,-1.0,2025-01-20,2025,2025-01,Enero,7,Lunes
SHORT,2025-01-21 17:57:00+00:00,2025-01-21 18:33:00+00:00,1.04211,1.0430900000000003,1.0430900000000003,1.0407379999999995,0.0009800000000002,SL,False,SL,-1.0,2025-01-21,2025,2025-01,Enero,12,Martes
SHORT,2025-01-22 13:36:00+00:00,2025-01-22 14:51:00+00:00,1.04284,1.04284,1.04284,1.0402779999999996,0.0018300000000002,SL,True,BE,0.0,2025-01-22,2025,2025-01,Enero,8,Miercoles
SHORT,2025-01-23 16:09:00+00:00,2025-01-23 17:42:00+00:00,1.0383,1.043,1.043,1.0317199999999995,0.0047000000000001,SL,False,SL,-1.0,2025-01-23,2025,2025-01,Enero,11,Jueves
SHORT,2025-01-24 17:48:00+00:00,2025-01-24 19:09:00+00:00,1.05099,1.049254,1.05099,1.049254,0.0012400000000001,TP,True,TP,1.4,2025-01-24,2025,2025-01,Enero,12,Viernes
LONG,2025-01-27 12:00:00+00:00,2025-01-27 13:00:00+00:00,1.05181,1.05181,1.05181,1.053252,0.00103,SL,True,BE,0.0,2025-01-27,2025,2025-01,Enero,7,Lunes
SHORT,2025-01-28 12:00:00+00:00,2025-01-28 12:12:00+00:00,1.04211,1.04211,1.04211,1.041354,0.0005400000000002,SL,True,BE,0.0,2025-01-28,2025,2025-01,Enero,7,Martes
SHORT,2025-01-29 13:06:00+00:00,2025-01-29 13:24:00+00:00,1.0397,1.038356,1.0397,1.038356,0.00096,TP,True,TP,1.4,2025-01-29,2025,2025-01,Enero,8,Miercoles
LONG,2025-01-30 12:27:00+00:00,2025-01-30 13:27:00+00:00,1.04014,1.0418620000000005,1.04014,1.0418620000000005,0.0012300000000002,TP,True,TP,1.4,2025-01-30,2025,2025-01,Enero,7,Jueves
LONG,2025-01-31 12:18:00+00:00,2025-01-31 12:27:00+00:00,1.03814,1.03814,1.03814,1.0392600000000003,0.0008000000000003,SL,True,BE,0.0,2025-01-31,2025,2025-01,Enero,7,Viernes
LONG,2025-03-03 12:00:00+00:00,2025-03-03 12:24:00+00:00,1.046,1.046,1.046,1.0471900000000005,0.0008500000000002,SL,True,BE,0.0,2025-03-03,2025,2025-03,Marzo,7,Lunes
LONG,2025-03-04 15:42:00+00:00,2025-03-04 18:09:00+00:00,1.05219,1.0559280000000002,1.05219,1.0559280000000002,0.0026700000000001,TP,True,TP,1.4,2025-03-04,2025,2025-03,Marzo,10,Martes
LONG,2025-03-05 14:03:00+00:00,2025-03-05 14:39:00+00:00,1.07377,1.0772700000000002,1.07377,1.0772700000000002,0.0025000000000001,TP,True,TP,1.4,2025-03-05,2025,2025-03,Marzo,9,Miercoles
SHORT,2025-03-06 15:33:00+00:00,2025-03-06 18:42:00+00:00,1.08228,1.0778559999999997,1.08228,1.0778559999999997,0.0031600000000002,TP,True,TP,1.4,2025-03-06,2025,2025-03,Marzo,10,Jueves
SHORT,2025-03-07 14:00:00+00:00,2025-03-07 15:48:00+00:00,1.08541,1.08541,1.08541,1.0813919999999997,0.0028700000000001,SL,True,BE,0.0,2025-03-07,2025,2025-03,Marzo,9,Viernes
LONG,2025-03-10 17:09:00+00:00,2025-03-10 17:51:00+00:00,1.08354,1.08354,1.08354,1.085052,0.0010800000000001,SL,True,BE,0.0,2025-03-10,2025,2025-03,Marzo,13,Lunes
LONG,2025-03-11 17:06:00+00:00,2025-03-11 17:15:00+00:00,1.09284,1.09284,1.09284,1.0936380000000003,0.0005700000000001,SL,True,BE,0.0,2025-03-11,2025,2025-03,Marzo,13,Martes
SHORT,2025-03-12 13:39:00+00:00,2025-03-12 14:39:00+00:00,1.08805,1.0897200000000002,1.0897200000000002,1.0857119999999996,0.0016700000000002,SL,False,SL,-1.0,2025-03-12,2025,2025-03,Marzo,9,Miercoles
LONG,2025-03-13 14:00:00+00:00,2025-03-13 14:18:00+00:00,1.08591,1.08591,1.08591,1.0878980000000005,0.0014200000000001,SL,True,BE,0.0,2025-03-13,2025,2025-03,Marzo,10,Jueves
LONG,2025-03-17 12:09:00+00:00,2025-03-18 00:00:00+00:00,1.09059,1.09191,1.09059,1.093376,0.0019900000000001,FORCED_CLOSE,True,FORCED_CLOSE,0.663317,2025-03-17,2025,2025-03,Marzo,8,Lunes
LONG,2025-03-18 13:00:00+00:00,2025-03-18 15:03:00+00:00,1.09156,1.09156,1.09156,1.0937020000000004,0.0015300000000002,SL,True,BE,0.0,2025-03-18,2025,2025-03,Marzo,9,Martes
SHORT,2025-03-19 14:45:00+00:00,2025-03-19 15:51:00+00:00,1.08923,1.0879559999999997,1.08923,1.0879559999999997,0.0009100000000001,TP,True,TP,1.4,2025-03-19,2025,2025-03,Marzo,10,Miercoles
SHORT,2025-03-21 15:45:00+00:00,2025-03-21 15:48:00+00:00,1.08226,1.0812239999999995,1.0830000000000002,1.0812239999999995,0.0007400000000001,TP,False,TP,1.4,2025-03-21,2025,2025-03,Marzo,11,Viernes
LONG,2025-03-24 12:57:00+00:00,2025-03-24 13:15:00+00:00,1.083,1.0820499999999995,1.0820499999999995,1.0843300000000002,0.0009500000000002,SL,False,SL,-1.0,2025-03-24,2025,2025-03,Marzo,8,Lunes
SHORT,2025-03-26 13:15:00+00:00,2025-03-26 14:03:00+00:00,1.07804,1.07804,1.07804,1.076472,0.00112,SL,True,BE,0.0,2025-03-26,2025,2025-03,Marzo,9,Miercoles
SHORT,2025-03-27 11:42:00+00:00,2025-03-27 15:30:00+00:00,1.07797,1.0800500000000002,1.0800500000000002,1.075058,0.00208,SL,False,SL,-1.0,2025-03-27,2025,2025-03,Marzo,7,Jueves
LONG,2025-03-28 13:00:00+00:00,2025-03-28 13:06:00+00:00,1.0786,1.0786,1.0786,1.0789220000000002,0.0002300000000001,SL,True,BE,0.0,2025-03-28,2025,2025-03,Marzo,9,Viernes
SHORT,2025-03-31 14:00:00+00:00,2025-03-31 14:06:00+00:00,1.08014,1.08014,1.08014,1.079006,0.0008100000000001,SL,True,BE,0.0,2025-03-31,2025,2025-03,Marzo,10,Lunes
LONG,2025-07-01 11:39:00+00:00,2025-07-01 11:54:00+00:00,1.18144,1.18144,1.18144,1.1827840000000005,0.0009600000000002,SL,True,BE,0.0,2025-07-01,2025,2025-07,Julio,7,Martes
SHORT,2025-07-02 11:27:00+00:00,2025-07-02 11:57:00+00:00,1.17628,1.1749779999999996,1.17628,1.1749779999999996,0.0009300000000003,TP,True,TP,1.4,2025-07-02,2025,2025-07,Julio,7,Miercoles
SHORT,2025-07-03 11:12:00+00:00,2025-07-03 11:57:00+00:00,1.17926,1.1785459999999996,1.17926,1.1785459999999996,0.0005100000000002,TP,True,TP,1.4,2025-07-03,2025,2025-07,Julio,7,Jueves
LONG,2025-07-04 13:00:00+00:00,2025-07-04 13:12:00+00:00,1.17688,1.17688,1.17688,1.17737,0.00035,SL,True,BE,0.0,2025-07-04,2025,2025-07,Julio,9,Viernes
LONG,2025-07-07 13:03:00+00:00,2025-07-07 13:24:00+00:00,1.17268,1.1735060000000002,1.17268,1.1735060000000002,0.00059,TP,True,TP,1.4,2025-07-07,2025,2025-07,Julio,9,Lunes
SHORT,2025-07-08 11:54:00+00:00,2025-07-08 12:33:00+00:00,1.17214,1.17214,1.17214,1.1696339999999996,0.0017900000000001,SL,True,BE,0.0,2025-07-08,2025,2025-07,Julio,7,Martes
SHORT,2025-07-09 11:51:00+00:00,2025-07-09 12:03:00+00:00,1.16979,1.16979,1.16979,1.16846,0.00095,SL,True,BE,0.0,2025-07-09,2025,2025-07,Julio,7,Miercoles
LONG,2025-07-10 13:00:00+00:00,2025-07-10 14:00:00+00:00,1.17104,1.1685599999999998,1.1685599999999998,1.1745120000000004,0.0024800000000002,SL,False,SL,-1.0,2025-07-10,2025,2025-07,Julio,9,Jueves
SHORT,2025-07-11 11:21:00+00:00,2025-07-11 12:27:00+00:00,1.16905,1.16905,1.16905,1.1674259999999996,0.0011600000000002,SL,True,BE,0.0,2025-07-11,2025,2025-07,Julio,7,Viernes
LONG,2025-07-14 17:00:00+00:00,2025-07-14 19:21:00+00:00,1.1666,1.1666,1.1666,1.1677200000000003,0.0008000000000003,SL,True,BE,0.0,2025-07-14,2025,2025-07,Julio,13,Lunes
SHORT,2025-07-15 13:18:00+00:00,2025-07-15 13:36:00+00:00,1.16647,1.1643279999999996,1.16647,1.1643279999999996,0.0015300000000002,TP,True,TP,1.4,2025-07-15,2025,2025-07,Julio,9,Martes
SHORT,2025-07-16 11:18:00+00:00,2025-07-16 11:54:00+00:00,1.16145,1.1604139999999998,1.16145,1.1604139999999998,0.0007400000000001,TP,True,TP,1.4,2025-07-16,2025,2025-07,Julio,7,Miercoles
SHORT,2025-07-18 11:54:00+00:00,2025-07-18 12:06:00+00:00,1.16402,1.16488,1.16488,1.1628159999999998,0.00086,SL,False,SL,-1.0,2025-07-18,2025,2025-07,Julio,7,Viernes
SHORT,2025-07-21 12:42:00+00:00,2025-07-21 13:45:00+00:00,1.16652,1.16652,1.16652,1.1652459999999998,0.0009100000000001,SL,True,BE,0.0,2025-07-21,2025,2025-07,Julio,8,Lunes
LONG,2025-07-22 13:39:00+00:00,2025-07-22 14:06:00+00:00,1.16946,1.16946,1.16946,1.171812,0.0016800000000001,SL,True,BE,0.0,2025-07-22,2025,2025-07,Julio,9,Martes
SHORT,2025-07-23 11:57:00+00:00,2025-07-23 12:18:00+00:00,1.17257,1.1732200000000002,1.1732200000000002,1.1716599999999997,0.0006500000000002,SL,False,SL,-1.0,2025-07-23,2025,2025-07,Julio,7,Miercoles
SHORT,2025-07-24 12:27:00+00:00,2025-07-24 13:00:00+00:00,1.17481,1.1732279999999995,1.17481,1.1732279999999995,0.0011300000000002,TP,True,TP,1.4,2025-07-24,2025,2025-07,Julio,8,Jueves
SHORT,2025-07-25 11:09:00+00:00,2025-07-25 11:21:00+00:00,1.17237,1.1712499999999997,1.17237,1.1712499999999997,0.0008000000000003,TP,True,TP,1.4,2025-07-25,2025,2025-07,Julio,7,Viernes
SHORT,2025-07-28 11:00:00+00:00,2025-07-28 11:18:00+00:00,1.16534,1.16534,1.16534,1.1645279999999998,0.0005800000000002,SL,True,BE,0.0,2025-07-28,2025,2025-07,Julio,7,Lunes
SHORT,2025-07-29 12:06:00+00:00,2025-07-29 12:21:00+00:00,1.15344,1.15344,1.15344,1.1522359999999998,0.00086,SL,True,BE,0.0,2025-07-29,2025,2025-07,Julio,8,Martes
SHORT,2025-07-30 20:09:00+00:00,2025-07-30 20:21:00+00:00,1.14202,1.1405919999999996,1.14202,1.1405919999999996,0.0010200000000002,TP,True,TP,1.4,2025-07-30,2025,2025-07,Julio,16,Miercoles
SHORT,2025-07-31 13:00:00+00:00,2025-07-31 13:06:00+00:00,1.14252,1.14252,1.14252,1.1417639999999998,0.0005400000000002,SL,True,BE,0.0,2025-07-31,2025,2025-07,Julio,9,Jueves
