config_id,phase,slippage,net_r
V49_7_0015,TRAIN,0.5,-0.0735
V49_7_0015,TRAIN,0.5,-1.2273
V49_7_0015,TRAIN,0.5,-1.2
V49_7_0015,TRAIN,0.5,-1.2
V49_7_0015,TRAIN,0.5,-0.051
V49_7_0015,TRAIN,0.5,1.8529
V49_7_0015,TRAIN,0.5,-1.2381
V49_7_0015,TRAIN,0.5,-1.1923
V49_7_0016,TRAIN,0.2,-1.1458
V49_7_0016,TRAIN,0.2,-1.125
V49_7_0016,TRAIN,0.2,-0.0435
V49_7_0016,TRAIN,0.2,-1.1842
V49_7_0016,TRAIN,0.2,-0.0487
V49_7_0016,TRAIN,0.2,-1.14
V49_7_0016,TRAIN,0.2,-0.0323
V49_7_0016,TRAIN,0.2,1.8409
V49_7_0016,TRAIN,0.2,1.8971
V49_7_0016,TRAIN,0.2,-1.1667
V49_7_0016,TRAIN,0.2,1.8542
V49_7_0016,TRAIN,0.3,-1.1667
V49_7_0016,TRAIN,0.3,-1.1429
V49_7_0016,TRAIN,0.3,-0.0652
V49_7_0016,TRAIN,0.3,-1.2105
V49_7_0016,TRAIN,0.3,-0.0519
V49_7_0016,TRAIN,0.3,-1.16
V49_7_0016,TRAIN,0.3,-0.0484
V49_7_0016,TRAIN,0.3,1.8182
V49_7_0016,TRAIN,0.3,1.8824
V49_7_0016,TRAIN,0.3,-1.1905
V49_7_0016,TRAIN,0.3,1.8333
V49_7_0016,TRAIN,0.5,-1.2083
V49_7_0016,TRAIN,0.5,-1.1786
V49_7_0016,TRAIN,0.5,-0.1087
V49_7_0016,TRAIN,0.5,-1.2632
V49_7_0016,TRAIN,0.5,-0.0584
V49_7_0016,TRAIN,0.5,-1.2
V49_7_0016,TRAIN,0.5,-0.0806
V49_7_0016,TRAIN,0.5,1.7727
V49_7_0016,TRAIN,0.5,1.8529
V49_7_0016,TRAIN,0.5,-1.2381
V49_7_0016,TRAIN,0.5,1.7917
V49_7_0017,TRAIN,0.2,-0.0336
V49_7_0017,TRAIN,0.2,2.3614
V49_7_0017,TRAIN,0.2,-1.1474
V49_7_0017,TRAIN,0.2,-1.1308
V49_7_0017,TRAIN,0.2,-1.1818
V49_7_0017,TRAIN,0.2,-0.0408
V49_7_0017,TRAIN,0.2,-1.1972
V49_7_0017,TRAIN,0.3,-0.0504
V49_7_0017,TRAIN,0.3,2.3416
V49_7_0017,TRAIN,0.3,-1.1684
V49_7_0017,TRAIN,0.3,-1.1495
V49_7_0017,TRAIN,0.3,-1.2078
V49_7_0017,TRAIN,0.3,-0.0612
V49_7_0017,TRAIN,0.3,-1.2254
V49_7_0017,TRAIN,0.5,-0.084
V49_7_0017,TRAIN,0.5,2.302
V49_7_0017,TRAIN,0.5,-1.2105
V49_7_0017,TRAIN,0.5,-1.1869
V49_7_0017,TRAIN,0.5,-1.2597
V49_7_0017,TRAIN,0.5,-0.102
