config_id,phase,slippage,net_r
V49_7_0072,TRAIN,0.2,-0.0556
V49_7_0072,TRAIN,0.3,-0.0833
V49_7_0072,TRAIN,0.5,-0.1389
V49_7_0076,TRAIN,0.2,-1.1522
V49_7_0076,TRAIN,0.3,-1.1739
V49_7_0076,TRAIN,0.5,-1.2174
V49_7_0078,TRAIN,0.2,-1.1522
V49_7_0078,TRAIN,0.3,-1.1739
V49_7_0078,TRAIN,0.5,-1.2174
V49_7_0083,TRAIN,0.2,-0.0556
V49_7_0083,TRAIN,0.3,-0.0833
V49_7_0083,TRAIN,0.5,-0.1389
V49_7_0085,TRAIN,0.2,-0.0541
V49_7_0085,TRAIN,0.3,-0.0811
V49_7_0085,TRAIN,0.5,-0.1351
V49_7_0086,TRAIN,0.2,-0.0541
V49_7_0086,TRAIN,0.3,-0.0811
V49_7_0086,TRAIN,0.5,-0.1351
V49_7_0089,TRAIN,0.2,-0.0556
V49_7_0089,TRAIN,0.3,-0.0833
V49_7_0089,TRAIN,0.5,-0.1389
V49_7_0092,TRAIN,0.2,-1.2593
V49_7_0092,TRAIN,0.3,-1.2963
V49_7_0092,TRAIN,0.5,-1.3704
V49_7_0096,TRAIN,0.2,-1.2593
V49_7_0096,TRAIN,0.3,-1.2963
V49_7_0096,TRAIN,0.5,-1.3704
V49_7_0100,TRAIN,0.2,-1.1944
V49_7_0100,TRAIN,0.3,-1.2222
V49_7_0100,TRAIN,0.5,-1.2778
V49_7_0002,TRAIN,0.2,-0.1026
V49_7_0002,TRAIN,0.3,-0.1538
V49_7_0002,TRAIN,0.5,-0.2564
V49_7_0003,TRAIN,0.2,-1.1667
V49_7_0003,TRAIN,0.3,-1.1905
V49_7_0003,TRAIN,0.5,-1.2381
V49_7_0004,TRAIN,0.2,1.141
V49_7_0004,TRAIN,0.3,1.0897
V49_7_0004,TRAIN,0.5,0.9872
V49_7_0006,TRAIN,0.2,1.141
V49_7_0006,TRAIN,0.3,1.0897
V49_7_0006,TRAIN,0.5,0.9872
V49_7_0009,TRAIN,0.2,-0.0769
V49_7_0009,TRAIN,0.3,-0.1154
V49_7_0009,TRAIN,0.5,-0.1923
V49_7_0012,TRAIN,0.2,-1.125
V49_7_0012,TRAIN,0.3,-1.1429
V49_7_0012,TRAIN,0.5,-1.1786
V49_7_0013,TRAIN,0.2,1.2627
V49_7_0013,TRAIN,0.3,1.2288
V49_7_0013,TRAIN,0.5,1.161
V49_7_0015,TRAIN,0.2,-1.125
V49_7_0015,TRAIN,0.3,-1.1429
V49_7_0015,TRAIN,0.5,-1.1786
V49_7_0016,TRAIN,0.2,-1.125
V49_7_0016,TRAIN,0.3,-1.1429
V49_7_0016,TRAIN,0.5,-1.1786
V49_7_0021,TRAIN,0.2,-1.125
V49_7_0021,TRAIN,0.3,-1.1429
V49_7_0021,TRAIN,0.5,-1.1786
V49_7_0022,TRAIN,0.2,-1.125
V49_7_0022,TRAIN,0.3,-1.1429
V49_7_0022,TRAIN,0.5,-1.1786
V49_7_0023,TRAIN,0.2,1.141
V49_7_0023,TRAIN,0.3,1.0897
V49_7_0023,TRAIN,0.5,0.9872
V49_7_0024,TRAIN,0.2,-1.125
V49_7_0024,TRAIN,0.3,-1.1429
V49_7_0024,TRAIN,0.5,-1.1786
V49_7_0026,TRAIN,0.2,1.141
V49_7_0026,TRAIN,0.3,1.0897
V49_7_0026,TRAIN,0.5,0.9872
V49_7_0027,TRAIN,0.2,-0.0678
V49_7_0027,TRAIN,0.3,-0.1017
V49_7_0027,TRAIN,0.5,-0.1695
V49_7_0032,TRAIN,0.2,1.141
V49_7_0032,TRAIN,0.3,1.0897
V49_7_0032,TRAIN,0.5,0.9872
V49_7_0043,TRAIN,0.2,-1.1667
V49_7_0043,TRAIN,0.3,-1.1905
V49_7_0043,TRAIN,0.5,-1.2381
V49_7_0044,TRAIN,0.2,-0.0769
V49_7_0044,TRAIN,0.3,-0.1154
V49_7_0044,TRAIN,0.5,-0.1923
V49_7_0045,TRAIN,0.2,-1.2692
V49_7_0045,TRAIN,0.3,-1.3077
