path,size_mb,tracked_status,should_be_in_git,action
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_06.parquet,23.04,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_07.parquet,25.07,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_08.parquet,31.85,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_09.parquet,31.25,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_10.parquet,30.28,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_11.parquet,40.62,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2024_12.parquet,34.71,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_01.parquet,39.05,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_02.parquet,35.83,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_03.parquet,41.95,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_04.parquet,67.99,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_05.parquet,43.13,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_06.parquet,35.38,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_07.parquet,14.95,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_08.parquet,22.38,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_09.parquet,26.84,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_10.parquet,26.57,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_11.parquet,22.11,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2025_12.parquet,23.01,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2026_01.parquet,26.71,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2026_02.parquet,23.19,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2026_03.parquet,45.48,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2026_04.parquet,32.58,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\data\forex_factory_cache.csv,65.07,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\data\news_eurusd_m15_audit.csv,22.05,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\data\news_eurusd_v2_utc_audit.csv,22.04,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\data\coverage_pipeline\backups\20260423T152227Z\EURUSD_M5.csv,23.61,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\data\coverage_pipeline\backups\20260423T185411Z\EURUSD_M5.csv,23.61,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\forex\USDJPY_2016_2019\prepared\USDJPY_M5.csv,21.95,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\forex\USDJPY_2016_2021\prepared\USDJPY_M15.csv,11.02,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\forex\USDJPY_2016_2021\prepared\USDJPY_M5.csv,32.93,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\forex\USDJPY_2022_2025\prepared\USDJPY_M5.csv,21.98,Unknown,NO,Exclude
07_BACKUPS\old_deliveries\ARCHIVO_HISTORICO\data_candidates_2022_2025\prepared\EURUSD_M5_BACKUP_20260421_222515.csv,21.95,Unknown,NO,Exclude
07_BACKUPS\old_deliveries\ARCHIVO_HISTORICO\data_candidates_2022_2025\prepared\USDCAD_M5.csv,21.92,Unknown,NO,Exclude
07_BACKUPS\old_deliveries\ARCHIVO_HISTORICO\data_candidates_2022_2025\prepared\USDCHF_M5.csv,21.93,Unknown,NO,Exclude
07_BACKUPS\old_deliveries\ARCHIVO_HISTORICO\data_candidates_2022_2025\prepared\USDJPY_M5.csv,21.98,Unknown,NO,Exclude
07_BACKUPS\old_deliveries\ARCHIVO_HISTORICO\data_free_2020\prepared\AUDUSD_M5.csv,10.97,Unknown,NO,Exclude
