file,line,match,keyword,severity
BOT_V2_DAYTIME_LAB\src\rebuild_and_validate_closeout_zip.py,9,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\rebuild_and_validate_closeout_zip.py,27,""".git"", "".env"", "".venv"", ""__pycache__"", ""secrets"", ""credentials"", ""tokens"", ""keys"", ""pem"", ""node_mod",token,WARNING
BOT_V2_DAYTIME_LAB\src\rebuild_and_validate_phase26b_zip.py,10,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\rebuild_and_validate_phase26b_zip.py,28,""".git"", "".env"", "".venv"", ""__pycache__"", ""secrets"", ""credentials"", ""tokens"", ""keys"", ""pem"", ""node_mod",token,WARNING
BOT_V2_DAYTIME_LAB\src\run_canonical_zip_authority_repair.py,8,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_canonical_zip_authority_repair.py,41,"if file_path.name.lower() in {'.env', 'secrets', 'credentials', 'mt5_local_config.json', 'tokens', '",token,WARNING
BOT_V2_DAYTIME_LAB\src\run_canonical_zip_hard_reset.py,11,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_canonical_zip_operating_standard.py,12,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_context_phase_0.py,15,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_context_phase_0.py,55,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\context",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_context_phase_1.py,12,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_context_phase_1.py,63,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\context",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_context_phase_3.py,11,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_context_phase_3.py,63,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\context",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_daily_news_fortress_precheck.py,15,"news_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\research_lab\data\news\news_events.cs",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_daily_news_fortress_precheck.py,54,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\news_fo",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_data_quality_forensic_repair.py,36,"ROOT = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_data_quality_forensic_repair.py,135,"for token in [""M1"", ""M3"", ""M5"", ""H1""]:",token,WARNING
BOT_V2_DAYTIME_LAB\src\run_data_quality_forensic_repair.py,136,if token in name:,token,WARNING
BOT_V2_DAYTIME_LAB\src\run_data_quality_forensic_repair.py,137,return token,token,WARNING
BOT_V2_DAYTIME_LAB\src\run_engine_safety_tests.py,12,"test_dir = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\tests\engine_safety",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_engine_safety_tests.py,39,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\engine_",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_entry_matrix.py,30,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_entry_matrix.py,57,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\entry_m",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_forensic_comparison_p10.py,29,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase12",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_forensic_comparison_p7_8.py,27,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase12",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_forensic_execution_audit.py,29,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase12",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_forensic_lookahead_audit.py,30,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase12",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_forensic_math_audit.py,10,"trades_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase12_",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_forensic_math_audit.py,34,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase12",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_forensic_reproduction.py,11,"manifest_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\ARCHIVE_SUPERSEDED\duplicated_fol",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_forensic_reproduction.py,137,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase12",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_forensic_robustness_fixed.py,10,"manifest_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\ARCHIVE_SUPERSEDED\duplicated_fol",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_forensic_robustness_fixed.py,95,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase12",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_m3_bid_ask_news_certification.py,27,"ROOT = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_m3_bid_ask_news_certification.py,110,"for token in [""TICK"", ""M1"", ""M3"", ""M5"", ""H1""]:",token,WARNING
BOT_V2_DAYTIME_LAB\src\run_m3_bid_ask_news_certification.py,111,if token in name:,token,WARNING
BOT_V2_DAYTIME_LAB\src\run_m3_bid_ask_news_certification.py,112,return token,token,WARNING
BOT_V2_DAYTIME_LAB\src\run_manual_normalization.py,7,"src_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\DATA MANUAL\analytics (1).csv""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_manual_normalization.py,33,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\data\manual_edg",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_manual_performance.py,9,"path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\data\manual_edge_alignm",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_manual_performance.py,38,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\manual_",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_manual_trade_matching.py,10,"manifest_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\data\certified",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_manual_trade_matching.py,14,"manual_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\data\manual_edge",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_manual_trade_matching.py,85,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\manual_",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_news_fortress_historical_replay.py,11,"trades_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase19_",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_news_fortress_historical_replay.py,12,"news_path = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\research_lab\data\news\news_events.cs",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_news_fortress_historical_replay.py,45,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\news_fo",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_news_inventory_audit.py,11,"""path"": r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\research_lab\data\news\news_events.csv"",",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_news_inventory_audit.py,16,"""path"": r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase17_news_f",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_news_inventory_audit.py,72,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\news_fo",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_deep_matrix_fakeout.py,60,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_deep_matrix_fakeout.py,79,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase10",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_screening.py,143,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_screening.py,172,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase10",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_screening_comprehensive.py,136,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_screening_comprehensive.py,166,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase10",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_screening_refined.py,100,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase10",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_screening_refined.py,103,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_screening_v2.py,114,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase10",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_screening_v2.py,118,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_screening_v3.py,103,"out_dir = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\BOT_V2_DAYTIME_LAB\outputs\phase10",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\run_phase10_screening_v3.py,106,"manifest_path = r""C:\Users\alera\Desktop\Bot\Bot V1\data_manifest\certified_data_paths.json""",C:\\Users\\,WARNING
