config_id,N_train,PF_train,N_val,PF_val,Total_R
V49_7B_0248,44,0.65,0,0.0,-12.23
V49_7B_0249,55,0.54,0,0.0,-19.71
V49_7B_0250,60,0.64,0,0.0,-17.85
V49_7B_0251,28,0.8,0,0.0,-4.81
V49_7B_0252,47,0.71,0,0.0,-10.75
V49_7B_0253,46,0.93,0,0.0,-2.66
V49_7B_0254,22,0.54,0,0.0,-8.99
V49_7B_0255,59,0.67,0,0.0,-16.2
V49_7B_0256,39,0.55,0,0.0,-14.23
V49_7B_0257,65,0.68,0,0.0,-15.1
V49_7B_0258,59,0.69,0,0.0,-15.03
V49_7B_0259,38,0.61,0,0.0,-12.69
V49_7B_0260,41,0.81,0,0.0,-6.07
V49_7B_0261,73,0.67,0,0.0,-17.49
V49_7B_0262,33,0.74,0,0.0,-5.85
V49_7B_0263,45,0.9,0,0.0,-3.37
V49_7B_0264,48,0.75,0,0.0,-8.88
V49_7B_0265,55,0.63,0,0.0,-15.44
V49_7B_0266,49,0.54,0,0.0,-18.01
V49_7B_0267,82,0.68,0,0.0,-21.79
V49_7B_0268,41,0.77,0,0.0,-6.92
V49_7B_0269,46,0.69,0,0.0,-12.13
V49_7B_0270,64,0.44,0,0.0,-30.0
V49_7B_0271,113,0.65,0,0.0,-31.24
V49_7B_0272,44,0.66,0,0.0,-11.42
V49_7B_0273,38,0.7,0,0.0,-9.73
V49_7B_0274,96,0.61,0,0.0,-27.96
V49_7B_0275,54,0.62,0,0.0,-15.33
V49_7B_0276,47,0.7,0,0.0,-11.26
V49_7B_0277,46,0.55,0,0.0,-16.03
V49_7B_0278,42,0.5,0,0.0,-18.0
V49_7B_0279,43,0.81,0,0.0,-5.8
V49_7B_0280,32,0.41,0,0.0,-17.31
V49_7B_0281,53,0.75,0,0.0,-8.97
V49_7B_0282,36,0.63,0,0.0,-10.29
V49_7B_0283,65,0.72,0,0.0,-15.14
V49_7B_0284,39,0.38,0,0.0,-20.33
V49_7B_0285,53,0.65,0,0.0,-15.02
V49_7B_0286,41,0.57,0,0.0,-13.59
V49_7B_0287,42,0.49,0,0.0,-17.12
V49_7B_0288,34,0.59,0,0.0,-10.66
V49_7B_0289,76,0.59,0,0.0,-23.6
V49_7B_0290,70,0.62,0,0.0,-22.18
V49_7B_0291,37,0.74,0,0.0,-6.75
V49_7B_0292,33,0.63,0,0.0,-10.33
V49_7B_0293,50,0.36,0,0.0,-29.95
V49_7B_0294,54,0.85,0,0.0,-5.74
V49_7B_0295,103,0.73,0,0.0,-21.57
V49_7B_0296,44,0.59,0,0.0,-15.42
V49_7B_0297,64,0.62,0,0.0,-17.81
V49_7B_0298,32,0.57,0,0.0,-10.81
V49_7B_0299,48,0.7,0,0.0,-12.02
V49_7B_0300,50,0.45,0,0.0,-24.58
V49_7B_0301,69,0.68,0,0.0,-17.89
V49_7B_0302,48,0.63,0,0.0,-13.3
V49_7B_0303,33,0.84,0,0.0,-4.21
V49_7B_0304,96,0.58,0,0.0,-31.07
V49_7B_0305,31,0.71,0,0.0,-6.38
V49_7B_0306,59,0.56,0,0.0,-19.95
V49_7B_0307,34,0.78,0,0.0,-5.68
V49_7B_0308,39,0.58,0,0.0,-13.86
V49_7B_0309,34,0.44,0,0.0,-17.16
V49_7B_0310,35,0.65,0,0.0,-9.63
V49_7B_0311,47,0.6,0,0.0,-14.19
V49_7B_0312,33,0.37,0,0.0,-17.87
V49_7B_0313,54,0.93,0,0.0,-3.17
V49_7B_0314,76,0.66,0,0.0,-18.96
V49_7B_0315,49,0.65,0,0.0,-12.67
V49_7B_0316,77,0.63,0,0.0,-22.97
V49_7B_0317,82,0.58,0,0.0,-28.97
V49_7B_0318,48,0.53,0,0.0,-18.46
