config_id,N_train,PF_train,N_val,PF_val,Total_R
V49_7B_0473,19,4.67,0,0.0,11.12
V49_7B_0474,24,2.13,0,0.0,6.95
V49_7B_0475,25,2.55,0,0.0,9.57
V49_7B_0476,33,1.44,0,0.0,3.4
V49_7B_0477,15,7.99,0,0.0,9.0
V49_7B_0478,114,0.56,0,0.0,-33.33
V49_7B_0479,20,3.3,0,0.0,5.49
V49_7B_0480,32,3.0,0,0.0,11.58
V49_7B_0481,11,28.59,0,0.0,7.23
V49_7B_0482,26,3.0,0,0.0,11.47
V49_7B_0483,38,0.92,0,0.0,-1.95
V49_7B_0484,15,3.87,0,0.0,4.8
V49_7B_0485,14,5.02,0,0.0,5.62
V49_7B_0486,15,5.22,0,0.0,6.83
V49_7B_0487,100,0.67,0,0.0,-21.75
V49_7B_0488,27,2.36,0,0.0,6.06
V49_7B_0489,20,8.87,0,0.0,10.86
V49_7B_0490,18,5.07,0,0.0,10.71
V49_7B_0491,15,3.28,0,0.0,5.63
V49_7B_0492,20,8.73,0,0.0,12.29
V49_7B_0493,35,0.8,0,0.0,-4.95
V49_7B_0494,58,0.47,0,0.0,-22.07
V49_7B_0495,18,8.82,0,0.0,10.56
V49_7B_0496,14,4.09,0,0.0,4.72
V49_7B_0497,113,0.61,0,0.0,-28.92
V49_7B_0498,33,2.83,0,0.0,11.92
V49_7B_0499,14,3.71,0,0.0,4.62
V49_7B_0500,7,99.0,0,0.0,5.83
V49_7B_0501,29,2.02,0,0.0,6.1
V49_7B_0502,19,5.05,0,0.0,9.57
V49_7B_0503,31,1.78,0,0.0,5.19
V49_7B_0504,33,1.56,0,0.0,4.38
V49_7B_0505,13,3.14,0,0.0,3.58
V49_7B_0506,25,4.7,0,0.0,12.95
V49_7B_0507,12,154.35,0,0.0,9.4
V49_7B_0508,21,9.02,0,0.0,12.63
V49_7B_0509,13,3.59,0,0.0,3.8
V49_7B_0510,51,0.81,0,0.0,-6.46
V49_7B_0511,13,3.97,0,0.0,4.72
V49_7B_0512,57,0.84,0,0.0,-5.53
V49_7B_0513,28,1.35,0,0.0,3.49
V49_7B_0514,76,0.64,0,0.0,-18.46
V49_7B_0515,16,3.02,0,0.0,4.55
V49_7B_0516,19,2.26,0,0.0,4.08
V49_7B_0517,20,3.32,0,0.0,8.37
V49_7B_0518,20,2.72,0,0.0,6.79
V49_7B_0519,19,10.24,0,0.0,12.35
V49_7B_0520,13,3.14,0,0.0,3.58
V49_7B_0521,20,8.8,0,0.0,12.31
V49_7B_0522,25,2.58,0,0.0,9.21
V49_7B_0523,7,99.0,0,0.0,5.79
V49_7B_0524,15,2.65,0,0.0,4.37
V49_7B_0525,20,9.81,0,0.0,13.77
V49_7B_0526,65,0.66,0,0.0,-17.05
V49_7B_0527,25,2.61,0,0.0,7.07
V49_7B_0528,13,25.45,0,0.0,8.45
V49_7B_0529,9,5.15,0,0.0,4.57
V49_7B_0530,87,0.58,0,0.0,-28.34
V49_7B_0531,76,0.59,0,0.0,-22.66
V49_7B_0532,15,2.7,0,0.0,4.83
V49_7B_0533,25,2.36,0,0.0,7.99
V49_7B_0534,10,97.28,0,0.0,7.63
V49_7B_0535,15,5.35,0,0.0,6.91
V49_7B_0536,21,2.56,0,0.0,4.79
V49_7B_0537,14,2.35,0,0.0,3.84
V49_7B_0538,14,1.57,0,0.0,2.91
V49_7B_0539,11,5.1,0,0.0,5.98
V49_7B_0540,25,2.9,0,0.0,8.18
V49_7B_0541,13,25.45,0,0.0,8.45
V49_7B_0542,14,1.55,0,0.0,2.82
V49_7B_0543,15,4.56,0,0.0,5.49
V49_7B_0544,14,3.52,0,0.0,3.81
V49_7B_0545,35,2.92,0,0.0,10.68
V49_7B_0546,14,28.33,0,0.0,9.44
V49_7B_0547,13,25.45,0,0.0,8.45
V49_7B_0548,10,85.53,0,0.0,6.91
V49_7B_0549,23,5.11,0,0.0,11.35
V49_7B_0550,9,5.15,0,0.0,4.57
V49_7B_0551,30,1.87,0,0.0,5.17
V49_7B_0552,15,5.22,0,0.0,6.83
