pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason
USDJPY,short,2020-04-14 17:05:00-04:00,2020-04-14 17:45:00-04:00,107.1617,107.20289548859445,1779000,-683.7473336461921,-754.9073336461922,-1.231056933809298,71.16000000000001,stop_loss
GBPUSD,long,2020-04-14 18:25:00-04:00,2020-04-14 18:45:00-04:00,1.26224,1.26205,1398000,-265.62000000018804,-336.19914840018805,-0.730400389065505,70.57914840000001,session_close
USDJPY,short,2020-04-21 14:00:00-04:00,2020-04-21 17:10:00-04:00,107.8025,107.70914696542683,1310000,1135.9770681150005,1083.5770681150004,1.6270977349657336,52.400000000000006,take_profit
EURUSD,short,2020-04-21 11:30:00-04:00,2020-04-21 18:45:00-04:00,1.08599,1.08566,626000,206.57999999996335,179.39094199996336,0.2722896448501246,27.189058000000003,session_close
GBPUSD,short,2020-04-22 15:10:00-04:00,2020-04-22 15:25:00-04:00,1.23105,1.2317389902769582,1030000,-709.6599852669816,-760.393438466687,-1.1375302265296168,50.73345319970534,stop_loss
EURUSD,short,2020-04-22 17:40:00-04:00,2020-04-22 18:15:00-04:00,1.082075,1.0823997920431878,1633000,-530.3854065258666,-601.0771532339971,-1.2486142266537137,70.69174670813052,stop_loss
EURUSD,short,2020-04-23 11:35:00-04:00,2020-04-23 13:10:00-04:00,1.08232,1.0802465099114869,563000,1167.3749198328735,1143.0244209312702,1.737317320829343,24.350498901603345,take_profit
EURUSD,short,2020-04-24 11:05:00-04:00,2020-04-24 13:00:00-04:00,1.08052,1.0786652911305403,637000,1181.449549845764,1153.941529236761,1.7301055602724082,27.508020609003086,take_profit
USDJPY,short,2020-04-27 13:05:00-04:00,2020-04-27 17:10:00-04:00,107.2575,107.19549701594455,1802000,1041.688053738667,969.608053738667,1.5436390160854905,72.08000000000001,take_profit
GBPUSD,long,2020-04-28 11:30:00-04:00,2020-04-28 12:20:00-04:00,1.24403,1.2430033115412185,692000,-710.4684134768054,-744.8889545085358,-1.0909513691299189,34.420541031730465,stop_loss
USDJPY,short,2020-04-28 12:55:00-04:00,2020-04-28 13:00:00-04:00,106.82249999999999,106.86813578501595,1717000,-733.1341317976801,-801.8141317976801,-1.1840053929882053,68.68,stop_loss
USDJPY,short,2020-04-29 12:25:00-04:00,2020-04-29 12:50:00-04:00,106.6575,106.70484104431443,1633000,-724.5693365712915,-789.8893365712914,-1.1768058715421839,65.32000000000001,stop_loss
USDJPY,short,2020-04-30 12:50:00-04:00,2020-04-30 14:35:00-04:00,106.9615,107.05024508598822,835000,-691.8644955899865,-725.2644955899866,-1.0899603624062084,33.400000000000006,stop_loss
EURUSD,long,2020-05-01 15:25:00-04:00,2020-05-01 16:15:00-04:00,1.09788,1.097485994188256,1602000,-631.1973104138566,-701.5368368676484,-1.20303884580754,70.33952645379173,stop_loss
USDJPY,short,2020-05-01 11:05:00-04:00,2020-05-01 16:35:00-04:00,106.84049999999999,106.92277534488437,895000,-688.6994479243547,-724.4994479243546,-1.0981668464352694,35.800000000000004,stop_loss
EURUSD,long,2020-05-04 13:30:00-04:00,2020-05-04 16:00:00-04:00,1.0902399999999999,1.0897078806839968,1293000,-688.0302755919496,-744.4037277864378,-1.146576630828524,56.373452194488166,stop_loss
EURUSD,short,2020-05-06 12:55:00-04:00,2020-05-06 15:20:00-04:00,1.08093,1.0798464646813952,1040000,1126.8767313489113,1081.9325808835383,1.6816490590584101,44.94415046537303,take_profit
USDJPY,short,2020-05-06 15:50:00-04:00,2020-05-06 16:00:00-04:00,106.0825,106.12056763296114,1738000,-623.4421010192838,-692.9621010192838,-1.2237628535173133,69.52000000000001,stop_loss
GBPUSD,short,2020-05-07 14:25:00-04:00,2020-05-07 18:30:00-04:00,1.23644,1.2373527809050076,740000,-675.4578697056024,-712.0700028629965,-1.1025181177827994,36.61213315739411,stop_loss
USDJPY,short,2020-05-08 13:20:00-04:00,2020-05-08 13:40:00-04:00,106.58149999999999,106.62178521016618,1710000,-646.0928268479639,-714.492826847964,-1.2106894548869442,68.4,stop_loss
GBPUSD,short,2020-05-11 11:10:00-04:00,2020-05-11 13:10:00-04:00,1.2337,1.2351265049865285,458000,-653.3392838300624,-675.953734615739,-1.0644617444352296,22.614450785676603,stop_loss
USDJPY,long,2020-05-11 16:50:00-04:00,2020-05-11 16:55:00-04:00,107.6563,107.62255151374377,1682000,-527.3641884723703,-594.6441884723703,-1.337933315517224,67.28,stop_loss
USDJPY,long,2020-05-12 11:40:00-04:00,2020-05-12 12:25:00-04:00,107.3075,107.39170785739604,1379000,1081.2566142978903,1026.0966142978905,1.6386035948831679,55.160000000000004,take_profit
GBPUSD,short,2020-05-13 18:20:00-04:00,2020-05-13 18:45:00-04:00,1.2232399999999999,1.22286,1382000,525.159999999758,457.54979599975803,0.8305241018338193,67.61020400000001,session_close
GBPUSD,short,2020-05-14 16:30:00-04:00,2020-05-14 16:40:00-04:00,1.22206,1.2226909996285031,1078000,-680.2175995264656,-732.9264310784562,-1.1504146799850865,52.708831551990535,stop_loss
USDJPY,long,2020-05-14 18:05:00-04:00,2020-05-14 18:45:00-04:00,107.2405,107.2555,1685000,235.64456129556453,168.24456129556455,0.40886925139891667,67.4,session_close
EURUSD,short,2020-05-14 18:15:00-04:00,2020-05-14 18:45:00-04:00,1.08047,1.0804,1568000,109.76000000002273,41.99511680002273,0.11077093863257324,67.7648832,session_close
USDJPY,long,2020-05-17 18:00:00-04:00,2020-05-17 18:20:00-04:00,107.1125,107.16159965488937,1689000,773.8253686562585,706.2653686562586,1.532831377264132,67.56,take_profit
GBPUSD,short,2020-05-18 11:40:00-04:00,2020-05-18 11:50:00-04:00,1.21974,1.221018831742027,515000,-658.5983471438639,-683.7381631108067,-1.071692687248688,25.139815966942884,stop_loss
GBPUSD,short,2020-05-19 11:10:00-04:00,2020-05-19 12:10:00-04:00,1.2245,1.2256065692519762,594000,-657.3021356739073,-686.4094017166208,-1.0834471190878308,29.10726604271348,stop_loss
EURUSD,long,2020-05-19 11:55:00-04:00,2020-05-19 12:35:00-04:00,1.09372,1.0929988341518497,913000,-658.4244193612201,-698.3539052728329,-1.1066811632552989,39.92948591161278,stop_loss
USDJPY,long,2020-05-19 15:15:00-04:00,2020-05-19 15:25:00-04:00,107.77250000000001,107.73416424997707,1662000,-591.3847289057884,-657.8647289057884,-1.2245663755787268,66.48,stop_loss
USDJPY,long,2020-05-20 13:50:00-04:00,2020-05-20 14:10:00-04:00,107.4965,107.44983315031968,1548000,-672.1652055858784,-734.0852055858785,-1.180878849106636,61.92,stop_loss
EURUSD,long,2020-05-20 13:25:00-04:00,2020-05-20 14:40:00-04:00,1.09812,1.0989854874610485,1243000,1075.8009140833237,1021.180871665042,1.6513705625840256,54.62004241828167,take_profit
EURUSD,long,2020-05-21 11:40:00-04:00,2020-05-21 15:40:00-04:00,1.0956299999999999,1.094692765464371,684000,-641.0684223701563,-671.032037801709,-1.08135322500493,29.963615431552597,stop_loss
EURUSD,long,2020-05-26 12:40:00-04:00,2020-05-26 13:30:00-04:00,1.09751,1.0984028795810528,1200000,1071.4554972633296,1018.7535881533843,1.655828575692137,52.70190910994527,take_profit
GBPUSD,long,2020-05-26 14:20:00-04:00,2020-05-26 14:35:00-04:00,1.23302,1.2339437728455551,1170000,1080.8142292994849,1023.0872770148989,1.6331446081262682,57.72695228458599,take_profit
USDJPY,long,2020-05-26 13:40:00-04:00,2020-05-26 14:50:00-04:00,107.5755,107.53951272223766,1662000,-556.1265622276132,-622.6065622276133,-1.2404195313859927,66.48,stop_loss
EURUSD,long,2020-05-27 12:05:00-04:00,2020-05-27 15:40:00-04:00,1.09765,1.099585436165,573000,1109.0049225449513,1083.8246044465006,1.7322794206843408,25.180318098450904,take_profit
EURUSD,long,2020-05-28 16:25:00-04:00,2020-05-28 17:05:00-04:00,1.10777,1.107214538377089,1235000,-685.9951042949231,-740.7052223928371,-1.1680742764735044,54.710118097914105,stop_loss
GBPUSD,long,2020-05-28 17:40:00-04:00,2020-05-28 18:45:00-04:00,1.23195,1.23228,1361000,449.1299999999203,382.0536593999203,0.6384201541086542,67.07634060000001,session_close
GBPUSD,long,2020-05-29 13:00:00-04:00,2020-05-29 13:10:00-04:00,1.23174,1.2303573554412892,470000,-649.8429425940966,-672.9866577352446,-1.06646729138392,23.14371514114812,stop_loss
EURUSD,long,2020-05-29 14:00:00-04:00,2020-05-29 14:55:00-04:00,1.10914,1.108411526575074,897000,-653.4406621586135,-693.2235365453703,-1.1064479017785844,39.78287438675683,stop_loss
USDJPY,long,2020-05-31 18:15:00-04:00,2020-05-31 18:35:00-04:00,107.7365,107.79826089616886,1657000,949.3214808005742,883.0414808005743,1.5837377013754828,66.28,take_profit
