side_exp,choch_time,entry_bid,sl_bid,tp_bid,risk_pips,outcome_exp,be_hit_exp,exit_bid,exit_time_exp,time_min,timestamp_ny,side_rep,entry_price,sl_price,tp_price,outcome_rep,exit_time_rep,exit_price,r_gross,be_hit_rep
LONG,2026-03-11 13:57:00+00:00,1.1592,1.1592,1.1613280000000004,0.0015200000000001,SL,True,1.1592,2026-03-11 10:03:00-04:00,2026-03-11 13:57:00+00:00,2026-03-11 13:57:00+00:00,LONG,1.15915,1.15773,1.1611379999999998,TP,2026-03-11T10:00:00-04:00,1.1611379999999998,1.4,True
LONG,2026-03-12 11:03:00+00:00,1.15584,1.15584,1.1568200000000002,0.0007000000000001,SL,True,1.15584,2026-03-12 07:48:00-04:00,2026-03-12 11:03:00+00:00,2026-03-12 11:03:00+00:00,LONG,1.15579,1.15519,1.1566300000000005,BE,2026-03-12T08:03:00-04:00,1.15579,0.0,True
SHORT,2026-03-13 19:03:00+00:00,1.14324,1.14324,1.1424839999999998,0.0005400000000002,TP,True,1.1424839999999998,2026-03-13 15:39:00-04:00,2026-03-13 19:03:00+00:00,2026-03-13 19:03:00+00:00,SHORT,1.14324,1.14373,1.1425539999999998,TP,2026-03-13T15:15:00-04:00,1.1425539999999998,1.4,True
SHORT,2026-03-16 12:48:00+00:00,1.1476,1.14888,1.1458079999999995,0.0012800000000001,SL,False,1.14888,2026-03-16 09:39:00-04:00,2026-03-16 12:48:00+00:00,2026-03-16 12:48:00+00:00,SHORT,1.1476,1.14883,1.145878,SL,2026-03-16T09:39:00-04:00,1.14883,-1.0,False
LONG,2026-03-17 13:00:00+00:00,1.15352,1.15352,1.1552140000000006,0.0012100000000003,SL,True,1.15352,2026-03-17 09:27:00-04:00,2026-03-17 13:00:00+00:00,2026-03-17 13:00:00+00:00,LONG,1.15347,1.1523599999999998,1.1550240000000005,BE,2026-03-17T10:21:00-04:00,1.15347,0.0,True
SHORT,2026-03-18 11:27:00+00:00,1.15321,1.15321,1.1498499999999998,0.0024000000000001,TP,True,1.1498499999999998,2026-03-18 09:06:00-04:00,2026-03-18 11:27:00+00:00,2026-03-18 11:27:00+00:00,SHORT,1.15321,1.15556,1.14992,TP,2026-03-18T09:06:00-04:00,1.14992,1.4,True
SHORT,2026-03-19 12:21:00+00:00,1.14693,1.14908,1.1439199999999998,0.00215,SL,False,1.14908,2026-03-19 09:03:00-04:00,2026-03-19 12:21:00+00:00,2026-03-19 12:21:00+00:00,SHORT,1.14693,1.14903,1.14399,SL,2026-03-19T09:03:00-04:00,1.14903,-1.0,False
LONG,2026-03-20 15:03:00+00:00,1.15412,1.15412,1.1551700000000005,0.0007500000000002,SL,True,1.15412,2026-03-20 11:18:00-04:00,2026-03-20 15:03:00+00:00,2026-03-20 15:03:00+00:00,LONG,1.1541,1.15342,1.155052,TP,2026-03-20T11:21:00-04:00,1.155052,1.4,True
LONG,2026-03-23 11:03:00+00:00,1.15777,1.15777,1.1708040000000002,0.0093100000000001,SL,True,1.15777,2026-03-23 07:09:00-04:00,2026-03-23 11:03:00+00:00,2026-03-23 11:03:00+00:00,LONG,1.15769,1.14851,1.1705420000000004,DAILY_CLOSE,2026-03-23T19:45:00-04:00,1.16064,0.3214,True
SHORT,2026-03-24 13:06:00+00:00,1.15744,1.15744,1.1550319999999998,0.0017200000000001,SL,True,1.15744,2026-03-24 09:51:00-04:00,2026-03-24 13:06:00+00:00,2026-03-24 13:06:00+00:00,SHORT,1.15744,1.15911,1.155102,BE,2026-03-24T10:09:00-04:00,1.15744,0.0,True
LONG,2026-03-25 12:00:00+00:00,1.16096,1.1585299999999998,1.164362,0.0024300000000001,SL,False,1.1585299999999998,2026-03-25 09:21:00-04:00,2026-03-25 12:00:00+00:00,2026-03-25 12:00:00+00:00,LONG,1.16092,1.15858,1.164196,SL,2026-03-25T09:21:00-04:00,1.15858,-1.0,False
SHORT,2026-03-26 19:00:00+00:00,1.15302,1.15302,1.1522919999999994,0.0005200000000002,TP,True,1.1522919999999994,2026-03-26 15:45:00-04:00,2026-03-26 19:00:00+00:00,2026-03-26 19:00:00+00:00,SHORT,1.15302,1.15349,1.1523619999999997,TP,2026-03-26T15:12:00-04:00,1.1523619999999997,1.4,True
LONG,2026-03-27 12:24:00+00:00,1.15113,1.15113,1.1526000000000003,0.0010500000000002,TP,True,1.1526000000000003,2026-03-27 09:24:00-04:00,2026-03-27 12:24:00+00:00,2026-03-27 12:24:00+00:00,LONG,1.15109,1.15013,1.152434,TP,2026-03-27T09:21:00-04:00,1.152434,1.4,True
SHORT,2026-03-30 13:24:00+00:00,1.1479,1.1479,1.1465279999999995,0.0009800000000002,TP,True,1.1465279999999995,2026-03-30 09:51:00-04:00,2026-03-30 13:24:00+00:00,2026-03-30 13:24:00+00:00,SHORT,1.1479,1.14883,1.1465979999999998,TP,2026-03-30T09:48:00-04:00,1.1465979999999998,1.4,True
LONG,2026-03-31 11:24:00+00:00,1.14815,1.14815,1.1516640000000002,0.0025100000000002,TP,True,1.1516640000000002,2026-03-31 09:18:00-04:00,2026-03-31 11:24:00+00:00,2026-03-31 11:24:00+00:00,LONG,1.1481,1.14569,1.151474,TP,2026-03-31T09:18:00-04:00,1.151474,1.4,True
SHORT,2026-04-01 14:09:00+00:00,1.16057,1.16057,1.157476,0.00221,FORCED_CLOSE,True,1.15906,2026-04-01 20:00:00-04:00,2026-04-01 14:09:00+00:00,2026-04-01 14:09:00+00:00,SHORT,1.16057,1.16273,1.1575460000000002,DAILY_CLOSE,2026-04-01T19:45:00-04:00,1.15906,0.6991,True
LONG,2026-04-02 12:00:00+00:00,1.15208,1.15208,1.1538720000000002,0.0012800000000001,SL,True,1.15208,2026-04-02 08:18:00-04:00,2026-04-02 12:00:00+00:00,2026-04-02 12:00:00+00:00,LONG,1.15206,1.15085,1.1537540000000004,TP,2026-04-02T10:33:00-04:00,1.1537540000000004,1.4,True
SHORT,2026-04-03 11:33:00+00:00,1.15417,1.1547500000000002,1.1533579999999997,0.0005800000000002,TP,False,1.1533579999999997,2026-04-03 08:30:00-04:00,2026-04-03 11:33:00+00:00,2026-04-03 11:33:00+00:00,SHORT,1.15417,1.1547,1.1534279999999997,TP,2026-04-03T08:30:00-04:00,1.1534279999999997,1.4,True
SHORT,2026-04-06 14:51:00+00:00,1.15513,1.15513,1.1521899999999996,0.0021000000000002,SL,True,1.15513,2026-04-06 14:09:00-04:00,2026-04-06 14:51:00+00:00,2026-04-06 14:51:00+00:00,SHORT,1.15513,1.15718,1.1522599999999998,DAILY_CLOSE,2026-04-06T19:45:00-04:00,1.15408,0.5122,True
LONG,2026-04-07 17:33:00+00:00,1.15765,1.15765,1.1592180000000003,0.0011200000000002,SL,True,1.15765,2026-04-07 14:45:00-04:00,2026-04-07 17:33:00+00:00,2026-04-07 17:33:00+00:00,LONG,1.15761,1.15658,1.1590520000000002,TP,2026-04-07T15:18:00-04:00,1.1590520000000002,1.4,True
