timestamp,currency,importance,event,country,source,hard_event,event_tier
2020-05-14 15:30:00-04:00,USD,3,Core Retail Sales m/m,,csv,True,hard
2020-05-17 19:00:00-04:00,USD,3,Fed Chair Powell Speaks,,csv,True,hard
2020-05-18 15:30:00-04:00,USD,1,FOMC Member Kashkari Speaks,,csv,True,hard
2020-05-18 16:00:00-04:00,USD,1,FOMC Financial Stability Report,,csv,True,hard
2020-05-19 10:00:00-04:00,USD,3,Fed Chair Powell Testifies,,csv,True,hard
2020-05-19 15:30:00-04:00,USD,2,FOMC Meeting Minutes,,csv,True,hard
2020-05-20 15:30:00-04:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2020-05-20 15:30:00-04:00,USD,1,Flash Services PMI,,csv,True,hard
2020-05-21 09:45:00-04:00,USD,3,Flash Manufacturing PMI,,csv,True,hard
2020-05-21 13:00:00-04:00,USD,1,FOMC Member Clarida Speaks,,csv,True,hard
2020-05-21 14:30:00-04:00,USD,3,Fed Chair Powell Speaks,,csv,True,hard
2020-05-26 13:00:00-04:00,USD,1,FOMC Member Kashkari Speaks,,csv,True,hard
2020-05-27 15:30:00-04:00,USD,3,Prelim GDP q/q,,csv,True,hard
2020-05-27 15:30:00-04:00,USD,1,Prelim GDP Price Index q/q,,csv,True,hard
2020-05-27 15:30:00-04:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2020-05-29 09:45:00-04:00,USD,2,Chicago PMI,,csv,True,hard
2020-05-29 11:00:00-04:00,USD,3,Fed Chair Powell Speaks,,csv,True,hard
2020-05-29 14:00:00-04:00,USD,3,President Trump Speaks,,csv,False,standard
2020-06-01 09:45:00-04:00,USD,1,Final Manufacturing PMI,,csv,True,hard
2020-06-01 10:00:00-04:00,USD,3,ISM Manufacturing PMI,,csv,True,hard
2020-06-02 02:30:00-04:00,CHF,1,Retail Sales y/y,,csv,True,hard
2020-06-02 03:30:00-04:00,CHF,1,Manufacturing PMI,,csv,True,hard
2020-06-02 15:30:00-04:00,USD,3,ISM Services PMI,,csv,True,hard
