config_id,date_only,phase,rows_count,signals_count,max_allowed,violation
M4_004,2020-03-10,TRAIN,4,2.0,3,False
M4_004,2020-03-18,TRAIN,4,2.0,3,False
M4_004,2020-03-19,TRAIN,2,1.0,3,False
M4_004,2020-03-26,TRAIN,2,1.0,3,False
M4_004,2020-04-02,TRAIN,4,2.0,3,False
M4_004,2020-04-06,TRAIN,4,2.0,3,False
M4_004,2020-04-09,TRAIN,2,1.0,3,False
M4_004,2020-04-13,TRAIN,2,1.0,3,False
M4_004,2020-04-15,TRAIN,2,1.0,3,False
M4_004,2020-04-16,TRAIN,2,1.0,3,False
M4_004,2020-04-28,TRAIN,2,1.0,3,False
M4_004,2020-04-30,TRAIN,4,2.0,3,False
M4_004,2020-05-07,TRAIN,4,2.0,3,False
M4_004,2020-05-08,TRAIN,2,1.0,3,False
M4_004,2020-05-14,TRAIN,2,1.0,3,False
M4_004,2020-05-15,TRAIN,2,1.0,3,False
M4_004,2020-05-20,TRAIN,2,1.0,3,False
M4_004,2020-05-21,TRAIN,2,1.0,3,False
M4_004,2020-05-25,TRAIN,2,1.0,3,False
M4_004,2020-05-27,TRAIN,4,2.0,3,False
M4_004,2020-06-03,TRAIN,6,3.0,3,False
M4_004,2020-06-04,TRAIN,4,2.0,3,False
M4_004,2020-06-09,TRAIN,4,2.0,3,False
M4_004,2020-06-10,TRAIN,2,1.0,3,False
M4_004,2020-06-12,TRAIN,2,1.0,3,False
M4_004,2020-06-15,TRAIN,2,1.0,3,False
M4_004,2020-06-17,TRAIN,2,1.0,3,False
M4_004,2020-06-18,TRAIN,2,1.0,3,False
M4_004,2020-06-19,TRAIN,2,1.0,3,False
M4_004,2020-06-30,TRAIN,2,1.0,3,False
M4_004,2020-07-01,TRAIN,4,2.0,3,False
M4_004,2020-07-02,TRAIN,6,3.0,3,False
M4_004,2020-07-14,TRAIN,2,1.0,3,False
M4_004,2020-07-21,TRAIN,2,1.0,3,False
M4_004,2020-08-04,TRAIN,4,2.0,3,False
M4_004,2020-08-07,TRAIN,4,2.0,3,False
M4_004,2020-08-10,TRAIN,2,1.0,3,False
M4_004,2020-08-11,TRAIN,4,2.0,3,False
M4_004,2020-08-17,TRAIN,2,1.0,3,False
M4_004,2020-08-21,TRAIN,2,1.0,3,False
M4_004,2020-08-26,TRAIN,2,1.0,3,False
M4_004,2020-08-27,TRAIN,2,1.0,3,False
M4_004,2020-08-28,TRAIN,4,2.0,3,False
M4_004,2020-09-01,TRAIN,4,2.0,3,False
M4_004,2020-09-03,TRAIN,4,2.0,3,False
M4_004,2020-09-08,TRAIN,2,1.0,3,False
M4_004,2020-09-09,TRAIN,2,1.0,3,False
M4_004,2020-09-10,TRAIN,2,1.0,3,False
M4_004,2020-09-15,TRAIN,2,1.0,3,False
M4_004,2020-09-25,TRAIN,2,1.0,3,False
M4_004,2020-09-29,TRAIN,2,1.0,3,False
M4_004,2020-10-02,TRAIN,2,1.0,3,False
M4_004,2020-10-12,TRAIN,2,1.0,3,False
M4_004,2022-01-03,VAL,4,2.0,3,False
M4_004,2022-01-04,VAL,4,2.0,3,False
M4_004,2022-01-13,VAL,2,1.0,3,False
M4_004,2022-01-17,VAL,2,1.0,3,False
M4_004,2022-01-18,VAL,2,1.0,3,False
M4_004,2022-01-28,VAL,4,2.0,3,False
M4_004,2022-01-31,VAL,2,1.0,3,False
M4_004,2022-02-03,VAL,4,2.0,3,False
M4_004,2022-02-04,VAL,6,3.0,3,False
M4_004,2022-02-10,VAL,2,1.0,3,False
M4_004,2022-02-16,VAL,2,1.0,3,False
M4_004,2022-02-28,VAL,2,1.0,3,False
M4_004,2022-03-09,VAL,2,1.0,3,False
M4_004,2022-03-10,VAL,6,3.0,3,False
M4_004,2022-03-15,VAL,4,2.0,3,False
M4_004,2022-03-17,VAL,2,1.0,3,False
M4_004,2022-03-30,VAL,2,1.0,3,False
M4_004,2022-03-31,VAL,2,1.0,3,False
M4_004,2022-04-01,VAL,4,2.0,3,False
M4_004,2022-04-08,VAL,2,1.0,3,False
M4_004,2022-04-14,VAL,4,2.0,3,False
