trade_id,config_id,phase,slippage,month,side,entry_time,exit_time,entry_price,exit_price,sl_price,exit_reason,gross_r,net_r,sl_pips,commission_r,slippage_r,eom_type,valid_closed_trade,sweep_depth_pips,sweep_depth_atr,displacement_body_atr,level_type,ftmo_blown,artificial_eom,included_in_metrics
9d3e09e5-a5d3-4d58-99ce-d2a926b2e3d9,M4_052,TRAIN,0.0,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3632,22.850000000000925,0.0219,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
9919265e-17d0-4a93-b208-591209173bfd,M4_052,TRAIN,0.2,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3545,22.850000000000925,0.0219,0.0088,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
8bc6ea3f-6b8e-41bb-bcae-121a284025e8,M4_053,TRAIN,0.0,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3632,22.850000000000925,0.0219,0.0,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
addc04c8-31ff-4d0f-8fcb-4a0e87093f49,M4_053,TRAIN,0.2,2020-01,short,2020-01-07 14:00:00.137000+00:00,2020-01-07 21:55:00.020000+00:00,1.1156,1.11472,1.117885,TIME,0.38512035010939005,0.3545,22.850000000000925,0.0219,0.0088,SESSION_FORCED_EXIT,True,12.8,1.2818,2.2643,PDH_PDL,False,True,False
c7423a89-2bf9-49d1-a568-25af002cf23b,M4_000,TRAIN,0.0,2020-01,short,2020-01-07 15:00:00.152000+00:00,2020-01-07 21:55:00.020000+00:00,1.11467,1.11472,1.1163299999999998,TIME,-0.030120481927644768,-0.0602,16.599999999997728,0.0301,0.0,SESSION_FORCED_EXIT,True,7.5,0.7431,1.5062,PDH_PDL,False,True,False
cd6d0543-513c-4b4a-a2fb-aca19182f6c1,M4_000,TRAIN,0.2,2020-01,short,2020-01-07 15:00:00.152000+00:00,2020-01-07 21:55:00.020000+00:00,1.11467,1.11472,1.1163299999999998,TIME,-0.030120481927644768,-0.0723,16.599999999997728,0.0301,0.012,SESSION_FORCED_EXIT,True,7.5,0.7431,1.5062,PDH_PDL,False,True,False
32449cf0-267d-4af3-bcfc-c8496059e374,M4_004,TRAIN,0.0,2020-01,short,2020-01-07 15:00:00.152000+00:00,2020-01-07 21:55:00.020000+00:00,1.11467,1.11472,1.1163299999999998,TIME,-0.030120481927644768,-0.0602,16.599999999997728,0.0301,0.0,SESSION_FORCED_EXIT,True,7.5,0.7431,1.5062,PDH_PDL,False,True,False
6018f1a7-e62e-4893-8c2e-ffca083e47d4,M4_004,TRAIN,0.2,2020-01,short,2020-01-07 15:00:00.152000+00:00,2020-01-07 21:55:00.020000+00:00,1.11467,1.11472,1.1163299999999998,TIME,-0.030120481927644768,-0.0723,16.599999999997728,0.0301,0.012,SESSION_FORCED_EXIT,True,7.5,0.7431,1.5062,PDH_PDL,False,True,False
aa055e26-e24e-4c4c-97d1-aad18f97363b,M4_009,TRAIN,0.0,2020-01,short,2020-01-07 15:00:00.152000+00:00,2020-01-07 21:55:00.020000+00:00,1.11467,1.11472,1.1163299999999998,TIME,-0.030120481927644768,-0.0602,16.599999999997728,0.0301,0.0,SESSION_FORCED_EXIT,True,7.5,0.7431,1.5062,PDH_PDL,False,True,False
3c131551-7ddc-4147-9111-5b9f85b776ae,M4_009,TRAIN,0.2,2020-01,short,2020-01-07 15:00:00.152000+00:00,2020-01-07 21:55:00.020000+00:00,1.11467,1.11472,1.1163299999999998,TIME,-0.030120481927644768,-0.0723,16.599999999997728,0.0301,0.012,SESSION_FORCED_EXIT,True,7.5,0.7431,1.5062,PDH_PDL,False,True,False
